SMILES,CID,Self interaction (eV),BE with FA+ (eV),BE with PbI2 (eV)
COC(CC#N)OC,93731,-0.61,-1.292,-0.862
CCC(=O)NC,14470,-0.483,-1.289,-1.356
CCCOC(N(C)C)OCCC,80105,-0.046,-1.18,-1.014
CC1CCCCC1O,11418,-0.214,-1.195,-1.245
CC(=O)COC(C)(C)C,12778577,-0.657,-1.759,-1.212
C1C=CCC1CO,1514122,-0.171,-1.194,-1.245
C1COCCN1N,20315,-0.381,-1.167,-1.172
CC1C(=O)CCS1,61664,-0.297,-1.161,-1.129
CC1=CC=C(O1)C=O,12097,-0.269,-1.165,-1.173
CCOC(=O)[C@H](C)N,76507,-0.33,-1.753,-0.975
CCOC(N(C)C)OCC,70913,-0.175,-1.172,-1.209
CC1=CC=C(O1)C(=O)C,14514,-0.574,-1.206501072,-0.938671443
COC1C=CC(O1)OC,78974,0.001,-1.233,-0.902
CC1C(=O)CCO1,18522,-0.337,-1.155,-1.13
CCC1=CN=C(C(=N1)C)C,27460,-0.456,-1.156,-1.146
C=CCCCO,13181,-0.153,-1.169,-1.21
CCOCCC#N,16501,-0.264,-1.152,-1.092
CN(C)CCN(C)C=O,279482,-0.638,-1.738,-1.283
C=CC(C=C)O,70204,-0.3,-1.254,-1.346
CCOCC(C)O,15287,-0.937,-1.706,-1.326
C[C@H]([C@H](C)S)O,641834,-0.548,-1.211773065,-0.920136962
C1CCC(CC1)CO,7507,-0.217,-1.197,-1.278
CC(=C)CO,10557,-0.234,-1.155,-1.171
C[C@H](CC(C)O)O,59154450,-0.432,-1.698,-1.336
CCC1(OCCO1)C,61067,-0.079,-1.15,-1.136
CC1=CC(=NC=N1)C,15257,-0.336,-1.219,-1.311
COS(=O)OC,69223,-0.46,-1.149,-1.13
C[C@@H](C[C@H](C)O)O,6950200,-0.479,-1.701,-1.334
C1CC(CC=C1)CO,15512,-0.305,-1.182,-1.255
CC(=O)CC#N,75579,-0.661,-1.27,-0.854
C[C@@H](C(C)O)O,44118659,-0.679,-1.291,-1.382
C[Si](C)(C)OCC#C,79696,-0.413,-1.172,-1.242
C1C=CCC1O,281478,-0.32,-1.175,-1.252
CC1=CN=C(C=C1)F,2774635,-0.441,-1.174,-1.252
CCOCC1=CC=CO1,80455,-0.524,-1.201,-0.921
COC(=O)CCC#C,543061,-0.384,-1.142,-1.077
CCC(C(=O)OC)O,520445,-0.427,-1.241,-0.872
CCN1CCC(C1)O,98203,-0.046,-1.766,-0.963
CCOC(=O)C(C)N,69236,-0.427,-1.489,-1.44
CCOC(=O)CC(C)C,7945,-0.466,-1.144,-1.17
CC(N(C)C)(OC)OC,87835,-0.321,-1.257,-1.364
CCC#CCO,80421,-0.176,-1.145,-1.18
CC(C)CC(CO)N,79030,-0.205,-1.145,-1.185
CC(C)(CO)F,11126179,-0.568,-1.246,-1.358
CC(C)CC(=O)OCC=C,17816,-0.064,-1.141,-1.182
CCC(C)C(=O)OCC,24020,-0.012,-1.142,-1.19
CC1=NC=CS1,77129,-0.285,-1.2,-1.314
CCOC(=O)C(C(=O)CF)(F)F,19786400,-0.231,-1.206,-0.897
CC1CCOC1=O,98323,-0.642,-1.216,-0.885
C[C@H](C(=O)OC)O,637514,-0.265,-1.141,-1.197
CC[C@@H](C(=O)OC)O,9793739,-0.417,-1.221,-0.877
CC(C(=O)OC)O,11040,-0.265,-1.194840378,-0.908060563
C1CCC(=O)CC1,7967,-0.505,-1.136,-1.183
COC(=O)C=CC(=O)OC,12215,-0.303,-1.128,-1.088
CC(C(=O)C)C(=O)C,69949,-0.599,-1.186,-0.918
CCCC1=NC=CN=C1C,85224,-0.484,-1.134,-1.178
CCN(CC)CC(C)O,95387,-0.592,-1.178,-1.291
CCC#CCCO,66083,-0.173,-1.244,-1.371
CCCCC(=O)C,11583,-0.229,-1.128,-1.165
CCN(CC)CC(=O)C,74176,-0.323,-1.756,-1.307
CCOC(=O)COC,77544,-0.419,-1.199295712,-0.891862389
C[C@@H](C(=O)OC)O,94386,-0.264,-1.224,-0.863
CC1(C(=O)C(C1=O)(C)C)C,13617,-0.367,-1.122,-1.089
COCC(COC)O,12190,-0.04,-1.57,-1.444
CC(C)C(=O)N(C)OC,10866371,-0.351,-1.279,-1.403
CCCC(=O)CC,11509,-0.037,-1.12,-1.109
CC1=CN=C(C(=N1)C)C,26808,-0.28,-1.158,-1.269
CCCOC(=O)C(=O)C,523918,-0.439,-1.145,-1.243
COC1CCCCO1,23057,-0.425,-1.261,-1.393
CN1CCCC(=O)CC1,262586,-0.41,-1.134,-1.215
